year,month,fid,DN,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
1990,010.csv,1,1,1257.353998,15.33358534,16.39599991,4.522181902,5.912000179,22.36899948,16.4569993,5.912000179,5.912000179,82,
1990,011.csv,1,1,3579.175985,43.64848763,46.3275013,5.910857389,25.62199974,51.54700089,25.92500114,25.62199974,25.62199974,82,
1990,012.csv,1,1,3186.292006,38.85721958,34.64499855,9.284228601,28.91200066,62.99100113,34.07900047,28.91200066,28.91200066,82,
1990,02.csv,1,1,8544.748024,104.2042442,100.3790016,16.59072539,74.34100342,138.5540009,64.21299744,74.34100342,74.34100342,82,
1990,03.csv,1,1,6363.969006,77.60937812,80.6780014,16.51808277,35.31000137,104.935997,69.62599564,35.31000137,35.31000137,82,
1990,04.csv,1,1,5004.319996,61.02829263,61.94350052,7.847318076,33.04299927,75.19999695,42.15699768,33.04299927,33.04299927,82,
1990,05.csv,1,1,8534.494965,104.0792069,106.882,14.09910964,68.20300293,129.173996,60.97099304,68.20300293,68.20300293,82,
1990,06.csv,1,1,298.7070027,3.642768325,0.529500008,4.835406776,0,14.23499966,14.23499966,0.003,0,54,
1990,07.csv,1,1,334.476999,4.078987793,1.57949996,5.063408442,0.312000006,23.46100044,23.14900044,0.312000006,0.98299998,81,
1990,08.csv,1,1,181.6270002,2.214963417,0,6.066477569,0,39.97700119,39.97700119,0.143000007,0,25,
1990,09.csv,1,1,552.8519998,6.742097559,4.990500212,7.023054092,0,25.4470005,25.4470005,0.001,0,67,
1991,01.csv,1,1,1233.920998,15.04781704,15.17300034,1.495225286,11.69799995,18.23600006,6.538000107,11.69799995,16.53499985,81,
1991,010.csv,1,1,9394.512005,114.5672196,116.2905006,27.02830449,59.59000015,175.427002,115.8370018,59.59000015,59.59000015,82,
1991,011.csv,1,1,3938.143004,48.0261342,45.82800102,19.18598168,14.43900013,91.03399658,76.59499645,14.43900013,14.43900013,82,
1991,012.csv,1,1,6000.363007,73.17515862,74.71549988,8.020867212,52.15800095,87.50499725,35.34699631,52.15800095,52.15800095,82,
1991,02.csv,1,1,5549.115013,67.67213431,68.05049896,6.076028432,52.19100189,81.0059967,28.81499481,52.19100189,52.19100189,82,
1991,03.csv,1,1,32179.99905,392.4390129,394.6300049,57.97206855,266.1849976,497.4819946,231.2969971,266.1849976,266.1849976,82,
1991,04.csv,1,1,3411.975007,41.60945131,40.79450035,14.56901401,14.74400043,69.65499878,54.91099834,14.74400043,14.74400043,82,
1991,05.csv,1,1,4858.675995,59.25214628,62.25049973,26.5090005,15.46899986,102.0699997,86.60099983,15.46899986,15.46899986,82,
1991,06.csv,1,1,2819.161006,34.38001227,34.86400032,4.602984688,14.84500027,45.9640007,31.11900043,14.84500027,32.53499985,81,
1991,07.csv,1,1,51.19200052,0.624292689,0,2.390274677,0,15.31400013,15.31400013,0.004,0,11,
1991,08.csv,1,1,474.823,5.79052439,5.344499826,1.747804051,3.191999912,12.03999996,8.84800005,3.191999912,5.231999874,81,
1991,09.csv,1,1,224.0949971,2.732865818,0.624500006,3.913158711,0,14.7489996,14.7489996,0.004,0,51,
1992,01.csv,1,1,4667.95499,56.92628037,57.31299973,4.324601595,45.27199936,64.22399902,18.95199966,45.27199936,45.27199936,82,
1992,010.csv,1,1,7833.787003,95.53398784,106.3009987,32.11894661,32.9280014,150.7570038,117.8290024,32.9280014,32.9280014,82,
1992,011.csv,1,1,1325.842002,16.16880491,14.35899973,5.311141574,7.671000004,28.5529995,20.88199949,7.671000004,7.671000004,82,
1992,012.csv,1,1,26537.38594,323.6266578,329.1394958,70.78916142,170.6549988,457.980011,287.3250122,170.6549988,170.6549988,82,
1992,02.csv,1,1,18450.54793,225.006682,229.246994,18.66225305,171.951004,255.7850037,83.83399963,171.951004,171.951004,82,
1992,03.csv,1,1,9975.984978,121.6583534,123.6434975,17.83945837,73.69499969,152.6289978,78.93399811,73.69499969,73.69499969,82,
1992,04.csv,1,1,2163.493002,26.384061,26.31699944,2.571420851,22.10199928,33.09400177,10.99200249,22.10199928,22.10199928,82,
1992,05.csv,1,1,364.9830025,4.451012226,0,5.698025653,0,21.53199959,21.53199959,0.107000001,0,40,
1992,06.csv,1,1,2660.143014,32.44076846,33.24650002,11.7101378,12.8409996,50.33499908,37.49399948,12.8409996,46.5909996,81,
1992,07.csv,1,1,741.904002,9.04760978,1.8125,12.53447418,0.059,50.36600113,50.30700113,0.059,0.493999988,81,
1992,08.csv,1,1,128.7220021,1.569780513,0,4.617636108,0,32.21300125,32.21300125,0.002,0,32,
1992,09.csv,1,1,65.44100089,0.798060987,0,1.754023375,0,8.512999535,8.512999535,0.030999999,0,26,
1993,01.csv,1,1,30719.13017,374.6235387,371.7109985,100.3397789,215.0420074,578.2280273,363.1860199,215.0420074,215.0420074,82,
1993,010.csv,1,1,3323.658989,40.53242669,34.25200081,23.11593381,8.753000259,83.48799896,74.7349987,8.753000259,8.753000259,82,
1993,011.csv,1,1,5383.073006,65.64723178,65.18050003,3.381354039,59.23699951,73.51799774,14.28099823,59.23699951,59.23699951,82,
1993,012.csv,1,1,8659.373997,105.6021219,108.3155022,13.77333022,61.05099869,133.0709991,72.02000046,61.05099869,61.05099869,82,
1993,02.csv,1,1,19464.63905,237.373647,237.2845001,35.84852228,150.7769928,291.2309875,140.4539948,150.7769928,150.7769928,82,
1993,03.csv,1,1,12528.36501,152.7849392,158.3355026,25.37743273,98.79599762,204.5090027,105.7130051,98.79599762,98.79599762,82,
1993,04.csv,1,1,5134.836994,62.61996334,61.92200089,19.24062181,25.25499916,105.8310013,80.57600212,25.25499916,25.25499916,82,
1993,05.csv,1,1,4701.381012,57.33391478,58.03249931,9.303232331,36.52899933,82.23300171,45.70400238,36.52899933,36.52899933,82,
1993,06.csv,1,1,3859.474022,47.06675636,42.51249886,18.16543306,24.23699951,74.63400269,50.39700317,24.23699951,24.23699951,82,
1993,07.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1993,08.csv,1,1,0.439999996,0.005365854,0,0.046540701,0,0.423999995,0.423999995,0.002,0,4,
1993,09.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1994,01.csv,1,1,6565.750004,80.070122,84.01499939,14.17909167,38.56299973,103.9260025,65.36300278,38.56299973,38.56299973,82,
1994,010.csv,1,1,3010.382996,36.71198775,37.22800064,7.9411243,15.55200005,53.6609993,38.10899925,15.55200005,15.55200005,82,
1994,011.csv,1,1,19662.27391,239.7838282,239.5820007,66.67471606,103.5930023,357.8919983,254.298996,103.5930023,103.5930023,82,
1994,012.csv,1,1,13264.85297,161.7664996,170.340004,24.67825589,62.12200165,190.0010071,127.8790054,62.12200165,62.12200165,82,
1994,02.csv,1,1,14750.18709,179.8803303,180.6949997,37.1386933,95.27100372,232.1670074,136.8960037,95.27100372,95.27100372,82,
1994,03.csv,1,1,1611.144006,19.64809763,18.00600052,10.52496718,6.156000137,40.93700027,34.78100014,6.156000137,6.156000137,82,
1994,04.csv,1,1,6556.371986,79.95575593,82.45399857,14.63815768,39.31399918,103.3420029,64.02800369,39.31399918,39.31399918,82,
1994,05.csv,1,1,4353.362024,53.08978078,54.09200096,9.068105479,30.05400085,65.58999634,35.53599548,30.05400085,30.05400085,82,
1994,06.csv,1,1,92.33800032,1.126073175,1.107500017,0.568073461,0,2.721999884,2.721999884,0,1.281999946,79,
1994,07.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1994,08.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1994,09.csv,1,1,1009.543006,12.31150008,12.32600021,3.881990588,2.858999968,20.04000092,17.18100095,2.858999968,2.858999968,82,
1995,01.csv,1,1,38663.74503,471.5090857,476.6384888,108.6528521,292.980011,691.1480103,398.1679993,292.980011,292.980011,82,
1995,010.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1995,011.csv,1,1,940.5590017,11.47023173,9.428500175,5.088280648,2.657999992,24.55200005,21.89400005,2.657999992,2.657999992,82,
1995,012.csv,1,1,19798.75203,241.4481955,241.6610031,56.93606429,117.9680023,336.5870056,218.6190033,117.9680023,117.9680023,82,
1995,02.csv,1,1,2750.110003,33.53792686,33.33699989,7.39216455,16.75499916,44.56900024,27.81400108,16.75499916,16.75499916,82,
1995,03.csv,1,1,37169.73689,453.2894743,456.1275024,115.739405,240.3049927,684.4429932,444.1380005,240.3049927,240.3049927,82,
1995,04.csv,1,1,13420.71595,163.6672677,150.1399994,58.8307997,65.79399872,293.9790039,228.1850052,65.79399872,65.79399872,82,
1995,05.csv,1,1,11424.48199,139.3229511,138.9339981,45.13677889,57.88600159,210.9730072,153.0870056,57.88600159,57.88600159,82,
1995,06.csv,1,1,3926.675001,47.8862805,49.3409996,5.0076523,26.14999962,52.88000107,26.73000145,26.14999962,47.95500183,81,
1995,07.csv,1,1,80.71699997,0.984353658,0.640500009,0.956894648,0,4.285999775,4.285999775,0.006,0,75,
1995,08.csv,1,1,1.812999986,0.022109756,0,0.102708443,0,0.745999992,0.745999992,0.071999997,0,7,
1995,09.csv,1,1,0,0,0,0,0,0,0,0,0,1,
1996,01.csv,1,1,24219.04205,295.3541713,288.5039978,116.1571954,111.0500031,529.6010132,418.5510101,111.0500031,111.0500031,82,
1996,010.csv,1,1,4467.612,54.48307316,51.57250023,19.91483002,26.57099915,102.0360031,75.46500397,26.57099915,26.57099915,82,
1996,011.csv,1,1,14940.74302,182.2041832,176.1774979,46.17891187,80.5490036,289.3800049,208.8310013,80.5490036,80.5490036,82,
1996,012.csv,1,1,40448.27582,493.2716563,487.519989,121.383067,222.9730072,742.322998,519.3499908,222.9730072,222.9730072,82,
