,year,month,min,max,mean,median,std
0,1914,2,97.66000366,195.503006,157.660451,161.2954941,29.02581272
0,1914,3,21.12000084,47.74300003,31.90512199,31.71100044,7.559825166
0,1914,4,30.5189991,164.8430023,92.79064697,97.34949875,37.68999386
0,1914,5,13.02499962,65.48799896,33.24995121,30.3010006,14.38942785
0,1914,6,24.5529995,78.08499908,51.19563417,46.47200012,16.34128988
0,1914,7,0,0,0,0,0
0,1914,8,0,6.708000183,0.097975612,0,0.747331174
0,1914,9,0,14.11900043,3.089243891,1.582000017,3.555709894
0,1914,10,30.63100052,91.27500153,60.97452443,59.76249886,17.06499626
0,1914,11,7.914999962,29.05800056,16.34621959,14.92600012,5.429491068
0,1914,12,130.4609985,174.8040009,150.4847803,148.9049988,12.24364447
0,1915,1,127.2160034,343.0700073,220.4263527,214.0214996,57.11691718
0,1915,2,178.6869965,459.8160095,338.6676092,341.3139954,80.38532456
0,1915,3,42.18000031,89.65699768,61.02021985,59.22999954,13.34973309
0,1915,4,29.22200012,94.45899963,58.47790237,60.35149956,16.20563104
0,1915,5,98.66899872,351.8240051,203.6506825,193.5544968,76.07320293
0,1915,6,0,0,0,0,0
0,1915,7,0,5.222000122,0.069890245,0,0.575175745
0,1915,8,0,0,0,0,0
0,1915,9,0.338,8.298999786,3.516999999,2.969500065,1.982155656
0,1915,10,0,0,0,0,0
0,1915,11,22.87700081,78.91500092,49.98718269,50.29850006,14.19153889
0,1915,12,142.1820068,276.1679993,209.7760002,211.1955032,36.48705278
0,1916,1,292.9339905,766.5700073,510.5413268,504.4595032,124.7107921
0,1916,2,87.58799744,219.1900024,161.0873418,161.1759949,37.90146864
0,1916,3,57.24100113,236.4340057,142.2344023,146.7630005,47.46191042
0,1916,4,7.454999924,47.61100006,25.64702433,26.28149986,10.5377814
0,1916,5,8.163999557,54.89099884,27.09875606,24.95750046,13.22470249
0,1916,6,0,0,0,0,0
0,1916,7,0.51700002,8.295999527,3.542878046,3.513499975,1.790336493
0,1916,8,1.613999963,23.57099915,3.279219507,2.25,3.162436196
0,1916,9,3.513999939,31.67099953,13.98134139,13.44500017,6.646852138
0,1916,10,28.70999908,157.2089996,89.73151235,87.92350006,36.44694397
0,1916,11,29.97400093,126.0950012,71.57576801,69.5719986,28.68862718
0,1916,12,114.9339981,339.3789978,226.4804153,226.9104996,63.44138879
