year,month,ave_discharge
2001,12,300.1
2002,1,533
2002,2,567.1
2002,3,853.9
2002,4,565
2002,5,318.3
2002,6,103.2
2002,7,22.3
2002,8,7.67
2002,9,5.66
2002,10,8.69
2002,11,58.4
2002,12,243.8
2003,1,273.1
2003,2,256.3
2003,3,339.9
2003,4,1022
2003,5,1082
2003,6,209.4
2003,7,38
2003,8,20.3
2003,9,8.81
2003,10,8.48
2003,11,31.8
2003,12,201.3
2004,1,289.6
2004,2,733.9
2004,3,741.8
2004,4,402.9
2004,5,171.5
2004,6,46.4
2004,7,14.7
2004,8,5.79
2004,9,5.34
2004,10,44.8
2004,11,72
2004,12,279.6
2005,1,1169
2005,2,849.5
2005,3,1973
2005,4,1415
2005,5,1588
2005,6,522.4
2005,7,119.3
2005,8,40.3
2005,9,26.4
2005,10,29.3
2005,11,40.7
2005,12,1439
2006,1,1773
2006,2,1100
2006,3,2577
2006,4,5255
2006,5,1564
2006,6,407.6
2006,7,118.8
2006,8,58.9
2006,9,41.8
2006,10,52.6
2006,11,76.4
2006,12,128.1
2007,1,152.9
2007,2,640.1
2007,3,567.5
2007,4,347
2007,5,215.7
2007,6,59.5
2007,7,21
2007,8,9.93
2007,9,10.4
2007,10,24.9
2007,11,29.4
2007,12,59.6
2008,1,327.5
2008,2,423.5
2008,3,351.5
2008,4,322
2008,5,245
2008,6,66.9
2008,7,15.3
2008,8,4.39
2008,9,2.68
2008,10,12.4
2008,11,34.4
2008,12,47.4
2009,1,144.5
2009,2,532.1
2009,3,1088
2009,4,475.9
2009,5,768.7
2009,6,96.3
2009,7,22
2009,8,6.6
2009,9,4.75
2009,10,22.9
2009,11,20.2
2009,12,79.2
2010,1,344.8
2010,2,470.1
2010,3,656.5
2010,4,984.3
2010,5,1063
2010,6,630.1
2010,7,79.5
2010,8,19.7
2010,9,12.2
2010,10,67.8
2010,11,162.3
2010,12,1815
2011,1,985.1
2011,2,989.4
2011,3,3819
2011,4,2171
2011,5,1312
2011,6,944
2011,7,269.9
2011,8,66.1
2011,9,37.1
2011,10,63
2011,11,60.3
2011,12,53.1
2012,1,133.2
2012,2,98.5
2012,3,781.6
2012,4,1160
2012,5,378.7
2012,6,91.5
2012,7,31.4
2012,8,12.5
2012,9,11.4
2012,10,19.2
